timestamp,x_coordinate

20250715-120746,567
20250715-120803,542
20250715-120811,542
20250715-120834,536
20250715-120842,527
20250715-120935,578
20250715-121008,546
20250715-121016,546
20250715-121024,511
20250715-121032,508
20250715-121039,510
20250715-121048,534
20250715-121055,499
20250715-121103,532
20250715-121111,534
20250715-121128,537
20250715-121136,540
20250715-121144,542
20250715-121153,538
20250715-121210,539
20250715-121218,586
20250715-121226,534
20250715-121235,579
20250715-121243,525
20250715-121251,535
20250715-121259,514
20250715-121307,512
20250715-121315,498
20250715-121324,539
20250715-121332,536
20250715-121341,534
20250715-121349,552
20250715-121358,539
20250715-121406,568
20250715-121415,568
20250715-121424,566
20250715-121432,553
20250715-121440,548
20250715-121449,536
20250715-121951,575
20250715-122025,511
20250715-122058,549
20250715-122131,572
20250715-122205,579
20250715-122238,546
20250715-122311,503
20250715-122344,573
20250715-122417,579
20250715-122450,449
20250715-122523,475
20250715-122556,469
20250715-122629,432
20250715-122702,397
20250715-122735,333
20250715-122808,289
20250715-122841,441
20250715-122915,305
20250715-122948,283
